type,schedule-identifier,schedule-name,schedule-cohort-year,milestone-name,milestone-declaration-type,milestone-start-date,milestone-date,milestone-payment-date
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2021,Output 3 - Participant Completion,completed,01/11/2021,,01/11/2021
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2021,Output 1 - Participant Start,started,01/01/2022,,01/01/2022
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2021,Output 2 - Retention Point 1,retained-1,01/01/2022,,01/01/2022
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2021,Output 3 - Participant Completion,completed,01/01/2022,,01/01/2022
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2022,Output 1 - Participant Start,started,01/11/2022,,01/11/2022
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2022,Output 2 - Retention Point 1,retained-1,01/11/2022,,01/11/2022
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2022,Output 3 - Participant Completion,completed,01/11/2022,,01/11/2022
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2022,Output 1 - Participant Start,started,01/01/2023,,01/01/2023
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2022,Output 2 - Retention Point 1,retained-1,01/01/2023,,01/01/2023
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2022,Output 3 - Participant Completion,completed,01/01/2023,,01/01/2023
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2023,Output 1 - Participant Start,started,01/11/2023,,01/11/2023
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2023,Output 2 - Retention Point 1,retained-1,01/11/2023,,01/11/2023
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2023,Output 3 - Participant Completion,completed,01/11/2023,,01/11/2023
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2023,Output 1 - Participant Start,started,01/01/2024,,01/01/2024
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2023,Output 2 - Retention Point 1,retained-1,01/01/2024,,01/01/2024
npq_specialist,npq-specialist-spring,NPQ Specialist Spring,2023,Output 3 - Participant Completion,completed,01/01/2024,,01/01/2024
